Session ID,Session Start Date,Session End Date,Session Duration,Session Location,Session Talent,Session QA,Session Day,Film ID,Film International Title,Film Original Title,Film Year,Film Duration,Film Directors,Director Biography,Film Synopsis (en),Film Credits (en),Film Genres,Film Sections,Film Categories,Film Awards,Film Types,Film Languages,Film Countries,Film URL
1776-film_session,2024-10-05T15:30:00,2024-10-05T17:13:00,103,Sala Tramuntana Meliá,False,False,2024-10-05,5711-film,Schirkoa: In Lies We Trust,Schirkoa: In Lies We Trust,2024,103,Ishan Shukla,"His short filmSchirkoa(2016), now adapted to feature film format, won multiple awards. In 2023, he directed and wrote an episode of theStar Wars: Visionsseries.","An Orwellian nightmare with aesthetics characteristic of a video game, this film is set in a gray and oppressive city, where all its citizens hide their faces behind paper bags and a name made up of a sequence of numbers. Among them, a bored office worker, who will be accidentally swept into the center of a revolution launched by those on the fringes of society.","<strong>Director</strong><br />Ishan Shukla<br /><strong>Writer</strong><br />Ishan Shukla<br /><strong>With</strong><br />Golshifteh Farahani, Asia Argento, Gaspar No&eacute;&nbsp;",,Noves Visions,,,Feature film,English; French; Japanese; Invented Language,India; France; Germany,https://sitgesfilmfestival.com/en/film/2024/schirkoa-lies-we-trust
1954-film_session,2024-10-05T16:00:00,2024-10-05T17:36:00,96,Sala Llevant,False,False,2024-10-05,6061-film,Luca il contrabbandiere,Luca il contrabbandiere,1980,96,Lucio Fulci,,Luca makes a living running port smuggling operations for the Neapolitan mafia. Everything gets complicated when he reveals their activity to the police.,,,Brigadoon,,,Feature film,Italian,Italy,https://sitgesfilmfestival.com/en/film/2024/luca-il-contrabbandiere
1768-film_session,2024-10-05T16:15:00,2024-10-05T17:57:00,102,Cinema Casino Prado,False,False,2024-10-05,6039-film,Robot Salvaje,The Wild Robot,2024,102,Chris Sanders,,"From DreamWorks Animation, an exciting adventure now arrives at the Festival featuring Roz, voiced by Lupita Nyong'o, a robot shipwrecked on a deserted island. In addition to surviving in a harsh environment, Roz comes into contact with the friendly local wildlife, even becoming the adoptive mother of an orphaned baby goose. This adaptation of Peter Brown's books of the same name will captivate all Hayao Miyazaki fans with its lush atmosphere.","<strong>Director</strong><br />Chris Sanders<br /><strong>Writer</strong><br />Chris Sanders<br /><strong>Cinematography</strong><br />Chris Stover<br /><strong>Editor</strong><br />Mary Blee<br /><strong>With</strong><br />Lupita Nyong&rsquo;o, Pedro Pascal, Catherine O&rsquo;Hara",Fiction,Sitges Collection - Sessió Especial,,,Feature film,English,United States of America (the),https://sitgesfilmfestival.com/en/film/2024/robot-salvaje
1928-film_session,2024-10-05T17:00:00,2024-10-05T18:26:00,86,Centre Cultural Miramar,False,False,2024-10-05,5837-film,John Vardar vs the Galaxy,Jon Vardar protiv Galaksijata,2024,86,Goce Cvetanovski,,,,Fiction,Sitges Family - Kids,,,Feature film,Macedonian,North Macedonia; Hungary; Bulgaria; Croatia,https://sitgesfilmfestival.com/en/film/2024/john-vardar-vs-galaxy
1678-film_session,2024-10-05T17:15:00,2024-10-05T17:35:00,20,Sala Auditori Meliá,True,False,2024-10-05,5997-film,Get Away,Get Away,0,0,Steffen Haars,,,,,Oficial Fantàstic Competició,,,Feature film,,,https://sitgesfilmfestival.com/en/film/2024/get-away
1884-film_session,2024-10-05T18:15:00,2024-10-05T19:54:00,99,Sala Tramuntana Meliá,False,False,2024-10-05,5683-film,Escape From the 21st Century,Escape From the 21st Century,0,98,Li Yang,,,,,Oficial Fantàstic Competició,,,Feature film,Chinese,,https://sitgesfilmfestival.com/en/film/2024/escape-21st-century
1998-film_session,2024-10-05T18:30:00,2024-10-05T20:20:00,110,Cinema Casino Prado,True,False,2024-10-05,5987-film,Centaurs of the night,Centaures de la nit,2024,105,Marc Recha,,,,Fiction,Noves Visions,,,Feature film,Catalan; Slovenian; Italian,Spain,https://sitgesfilmfestival.com/en/film/2024/centaures-nit
1757-film_session,2024-10-05T19:00:00,2024-10-05T20:36:00,96,Cinema Escorxador,True,False,2024-10-05,6210-film,A Nightmare on Elm Street (1984) Pesadilla en Elm Street,A Nightmare on Elm Street,1984,91,Wes Craven,,,,Fiction,Sitges Clàssics,,,Feature film,English,United States of America (the),https://sitgesfilmfestival.com/en/film/2024/pesadilla-elm-street-nightmare-on-elm-street
1988-film_session,2024-10-05T19:00:00,2024-10-05T20:56:00,116,Centre Cultural Miramar,False,False,2024-10-05,6089-film,The Worlds Divide,The Worlds Divide,2024,116,Denver Jackson,,,,Fiction,Sitges Family - Kids,,,Feature film,English,Canada,https://sitgesfilmfestival.com/en/film/2024/worlds-divide
1569-film_session,2024-10-05T19:30:00,2024-10-05T22:04:00,154,Sala Auditori Meliá,True,False,2024-10-05,5909-film,Exhuma,Pa-Myo,2024,134,Jae-Hyun Jang,"Korean filmmaker who debuted in 2015 withThe Priest, a major box office sensation in his native country.Exhumais his third film as director.","Famous shaman Hwa-rim and her prot&eacute;g&eacute; Bong-gil receive a large sum of money to meet with the descendants of a family afflicted by a peculiar disease and discuss their funeral rites. Sensing the sinister aura surrounding the family niche, Hwa-rim proposes that the grave should be relocated, setting off a dangerous chain of supernatural events. High-quality Korean horror with Choi Min-sik (<em>Old Boy</em>) in one of the leading roles.","<strong>Director</strong><br />Jang Jae-hyun<br /><strong>Writer</strong><br />Jang Jae-hyun&nbsp;<br /><strong>Cinematography</strong><br />Lee Mo-gae<br /><strong>Editor</strong><br />Jeong Byeong-jin<br /><strong>With</strong><br />Lee Do-hyun, Kim Go-eun, Choi Min-sik",Fiction,Oficial Fantàstic Competició,,,Feature film,Korean,Korea (the Republic of),https://sitgesfilmfestival.com/en/film/2024/exhuma
